,F1_rank_mean,F1_rank_mean,F1_rank_mean,normalized_F1__test_mean,count
,min,max,mean,mean,
alg_name,,,,,
CatBoost,1,17,5.3,0.88,104
XGBoost,1,16,6.3,0.83,104
ResNet,1,18,6.94,0.78,104
SAINT,1,18,7.32,0.75,104
NODE,1,18,7.53,0.75,104
FTTransformer,1,16,7.66,0.77,104
RandomForest,1,18,7.67,0.78,104
LightGBM,1,18,7.81,0.78,104
SVM,1,18,8.37,0.7,104
DANet,1,17,8.74,0.76,104
MLP-rtdl,1,18,9.46,0.65,104
DecisionTree,1,18,10.75,0.62,104
STG,1,18,10.9,0.59,104
LinearModel,1,18,11.32,0.54,104
MLP,1,18,11.54,0.57,104
TabNet,1,18,11.82,0.57,104
KNN,1,18,12.89,0.47,104
VIME,2,18,14.38,0.35,104
