alg_name,F1_rank_mean,F1_rank_mean,F1_rank_mean,F1_rank_mean
,min,max,mean,count
CatBoost,1.0,15.0,4.580152671755725,131
XGBoost,1.0,17.0,5.305343511450381,131
rtdl_FTTransformer,1.0,15.0,6.352941176470588,34
NODE,1.0,17.0,6.611111111111111,126
LightGBM,1.0,19.0,6.7,130
rtdl_ResNet,1.0,19.0,6.701754385964913,57
RandomForest,1.0,18.0,7.007692307692308,130
SAINT,1.0,18.0,7.051724137931035,58
SVM,1.0,17.0,7.735537190082645,121
DANet,1.0,20.0,7.931372549019608,102
rtdl_MLP,1.0,18.0,8.818181818181818,55
DeepFM,1.0,20.0,9.395061728395062,81
DecisionTree,1.0,20.0,9.938931297709924,131
STG,1.0,21.0,10.404580152671755,131
TabNet,1.0,21.0,10.51908396946565,131
MLP,1.0,19.0,10.534351145038167,131
LinearModel,1.0,20.0,10.576923076923077,130
TabTransformer,1.0,19.0,10.648936170212766,94
KNN,1.0,20.0,11.84732824427481,131
VIME,2.0,20.0,13.213740458015268,131
NAM,1.0,21.0,13.56578947368421,76
