,Accuracy_rank_mean,Accuracy_rank_mean,Accuracy_rank_mean,normalized_Accuracy__test_mean,count
,min,max,mean,mean,
alg_name,,,,,
CatBoost,1,36,8.2,0.9,163
XGBoost,1,36,9.25,0.91,171
CatBoost_default,1,33,11.23,0.86,163
XGBoost_default,1,39,11.26,0.88,171
rtdl_ResNet,1,37,11.29,0.85,170
LightGBM,1,38,11.6,0.89,164
SAINT,1,35,12.06,0.84,106
NODE,1,37,12.47,0.83,138
LightGBM_default,1,38,12.52,0.86,164
RandomForest,1,37,13.48,0.84,170
rtdl_FTTransformer,1,31,13.52,0.82,139
rtdl_ResNet_default,1,41,13.98,0.8,170
SVM,1,35,13.99,0.82,143
NODE_default,1,38,14.64,0.79,138
DANet,1,37,14.65,0.84,147
SAINT_default,1,40,15.37,0.78,97
rtdl_MLP,1,34,16.05,0.76,171
DeepFM,1,40,18.39,0.72,90
RandomForest_default,1,37,18.82,0.71,170
TabNet,1,41,18.84,0.75,166
MLP,1,36,19.39,0.72,170
DecisionTree,1,40,19.57,0.73,171
STG,1,38,19.65,0.71,163
TabTransformer,1,39,19.76,0.72,122
rtdl_FTTransformer_default,1,37,19.76,0.71,139
DANet_default,1,35,19.84,0.75,146
SVM_default,1,41,19.88,0.7,141
rtdl_MLP_default,1,38,20.5,0.64,171
DeepFM_default,1,40,20.51,0.68,90
LinearModel,1,39,21.54,0.64,167
KNN,1,40,22.34,0.67,164
TabNet_default,1,41,22.85,0.66,160
DecisionTree_default,1,39,23.03,0.6,171
TabTransformer_default,1,41,23.74,0.53,120
MLP_default,1,39,23.95,0.6,170
KNN_default,1,40,24.11,0.63,164
VIME,2,39,25.33,0.57,162
STG_default,1,41,26.44,0.51,163
NAM,1,39,28.38,0.55,80
VIME_default,2,41,31.19,0.35,155
NAM_default,1,41,31.75,0.36,79
