,Log Loss_rank_mean,Log Loss_rank_mean,Log Loss_rank_mean,normalized_Log Loss__test_mean,count
,min,max,mean,mean,
alg_name,,,,,
TabPFNModel,1,19,6.13,0.02,63
XGBoost,1,30,6.88,0.01,171
CatBoost,1,30,7.46,0.02,163
CatBoost_default,1,32,10.16,0.05,163
XGBoost_default,1,35,10.62,0.03,171
LightGBM,1,42,11.61,0.04,164
SAINT,1,36,11.86,0.03,106
LightGBM_default,1,37,12.79,0.04,164
rtdl_ResNet,1,35,13.39,0.05,170
DANet,1,41,13.85,0.04,147
SVM,1,38,13.89,0.05,143
SAINT_default,1,38,13.97,0.05,97
STG,1,36,15.88,0.06,163
rtdl_FTTransformer,1,35,16.52,0.07,139
rtdl_ResNet_default,1,39,16.68,0.09,170
RandomForest,1,38,17.31,0.08,170
RandomForest_default,1,38,17.85,0.13,170
SVM_default,1,41,18.7,0.08,141
LinearModel,1,37,18.91,0.12,167
LinearModel_default,1,37,18.91,0.12,167
DeepFM,1,42,19.59,0.2,90
TabTransformer,1,37,19.61,0.11,122
TabNet,1,43,19.7,0.14,166
NODE,1,35,19.96,0.1,138
rtdl_MLP,1,37,20.64,0.16,171
DANet_default,1,40,20.77,0.09,146
NODE_default,3,36,21.42,0.11,138
rtdl_FTTransformer_default,1,37,21.56,0.15,139
MLP,2,37,21.78,0.15,170
DeepFM_default,1,43,22.09,0.26,90
TabNet_default,2,43,22.54,0.19,160
STG_default,1,41,23.1,0.12,163
rtdl_MLP_default,1,40,23.44,0.31,171
TabTransformer_default,2,42,24.59,0.2,120
MLP_default,2,39,25.16,0.31,170
VIME,3,41,25.91,0.21,162
KNN,3,43,26.39,0.17,164
DecisionTree,1,42,26.5,0.23,171
NAM,4,40,27.19,0.18,80
DecisionTree_default,1,43,29.98,0.42,171
KNN_default,3,42,30.2,0.35,164
VIME_default,2,42,31.52,0.34,155
NAM_default,6,41,34.62,0.41,79
